City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Morgan City,US,29.6994,-91.2068,68.02,68,40,6.91,scattered clouds
79,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,5.75,clear sky
80,Kapaa,US,22.0752,-159.319,84.18,70,0,10.36,clear sky
81,Touros,BR,-5.1989,-35.4608,77.56,79,14,16.64,few clouds
82,Castro,BR,-24.7911,-50.0119,59.41,95,100,9.35,moderate rain
83,Morondava,MG,-20.2833,44.2833,75.04,80,11,5.73,few clouds
84,Popondetta,PG,-8.7537,148.2534,90.84,52,100,4.59,overcast clouds
85,Katsuura,JP,35.1333,140.3,65.59,90,100,19.77,light rain
86,Port Alfred,ZA,-33.5906,26.891,63.9,87,96,8.48,overcast clouds
87,Mbandaka,CD,0.0487,18.2603,71.35,94,100,1.32,overcast clouds
88,Hongjiang,CN,27.11,109.9956,63.63,50,5,5.97,clear sky
89,Kindu,CD,-2.95,25.95,67.03,98,7,1.86,clear sky
90,Guerrero Negro,MX,27.9769,-114.0611,71.96,74,0,15.57,clear sky
91,Behbahan,IR,30.5959,50.2417,74.39,37,57,1.88,broken clouds
92,Bubaque,GW,11.2833,-15.8333,80.87,78,99,7.52,overcast clouds
93,Port Moresby,PG,-9.4431,147.1797,85.3,67,100,5.37,overcast clouds
94,Tiarei,PF,-17.5333,-149.3333,84.22,81,33,20.65,light rain
95,Saskylakh,RU,71.9167,114.0833,-0.72,100,96,3.6,overcast clouds
96,Georgetown,MY,5.4112,100.3354,80.89,83,20,0.0,few clouds
97,Tigil,RU,57.8,158.6667,34.3,100,100,6.29,snow
98,Korla,CN,41.7597,86.1469,52.65,23,98,3.2,overcast clouds
99,Muros,ES,42.7762,-9.0603,62.69,96,100,8.88,overcast clouds
100,Dzerzhinsk,RU,56.2389,43.4631,46.22,87,75,11.18,broken clouds
101,Namie,JP,37.4833,141.0,59.99,68,100,5.46,overcast clouds
